Acceptor,HOMO,LUMO,Gap,Halfway
1,-8.97744409877075,-0.5317648866471,8.44567921212365,-4.754604492708925
2,-8.791916875499851,-0.6605291607037,8.131387714796151,-4.726223018101775
3,-9.2135028640795,-1.09120375189005,8.122299112189449,-5.152353307984775
4,-8.3044249123291,-1.3621475128329,6.9422773994962,-4.833286212581
5,-6.6628708978028,0.39834746574695,7.06121836354975,-3.132261716027925
6,-8.34113307076155,-1.0364000223993501,7.3047330483622,-4.6887665465804504
7,-8.340207883669851,-1.95995443099635,6.380253452673502,-5.1500811573331005
8,-8.9631581216195,1.7348890652478,10.6980471868673,-3.61413452818585
9,-8.88672134101405,1.5009255765879,10.38764691760195,-3.6928978822130754
10,-7.674454137036549,-0.35328541210415,7.321168724932399,-4.01386977457035
11,-8.3208605888993,-0.3150534161089,8.005807172790401,-4.3179570025041
12,-7.6674880224637505,-1.18301496504875,6.484473057415,-4.42525149375625
